Dataset,Model,accuracy,precision,recall,f1,roc_auc,training_time_sec
Synthetic (Ebbinghaus),LogisticRegression,0.8994050838290968,0.8558524651863003,0.8629981024667932,0.8594104308390023,0.9635954607466499,0.03
Synthetic (Ebbinghaus),RandomForest,0.9015684153596538,0.8646271510516252,0.8580645161290322,0.8613333333333333,0.9643861195107147,0.42
Synthetic (Ebbinghaus),GradientBoosting,0.9073823688480259,0.8668171557562077,0.8743833017077799,0.8705837899112034,0.971106559582184,5.17
Duolingo HLR (real),LogisticRegression,0.8728966666666667,0.8534681624269237,0.9003506993986106,0.8762828062593483,0.9344782050292324,1.23
Duolingo HLR (real),RandomForest,0.8761766666666667,0.8408518350702311,0.9279666102169536,0.8822640098126531,0.9376448896568177,60.4
Duolingo HLR (real),GradientBoosting,0.8765466666666667,0.8427130616307013,0.9258797487765524,0.8823409811483794,0.9383460688629257,276.69
